X1,X2,Y
-0.580332229,-0.5200608,-1
-0.700408393,0.216898262,-1
0.61745296,0.256037928,1
-0.383554021,-0.716119123,-1
0.102860314,0.526857552,1
-0.669665385,-0.661911467,-1
-0.924211684,0.219849278,-1
-0.89300739,-0.323050076,-1
0.495805302,0.126515564,1
-0.747517828,0.06295692,-1
-0.969455949,-0.821005984,-1
0.212477822,-0.617250544,-1
-0.067018274,0.708718831,-1
0.717524145,0.006217932,1
-0.845380255,0.441071621,-1
0.590579726,0.210865924,1
-0.070843342,-0.309760052,-1
-0.161002714,0.290165307,-1
-0.847237288,0.377097876,-1
-0.538870153,0.886014835,-1
0.731425554,-0.141368161,1
0.483921118,0.026528165,1
-0.796104809,-0.772537561,-1
0.312884902,-0.927682457,-1
-0.952179132,0.997913483,-1
-0.555047904,0.351738875,-1
0.665881643,0.864044283,1
0.713695913,0.543138566,1
0.027254277,-0.341957527,-1
-0.201685828,-0.085584627,-1
0.932679267,0.328687133,1
0.550222915,0.48701221,1
0.192508432,0.912417329,1
0.614560655,-0.563663018,-1
0.652458721,-0.157603242,1
-0.303915638,-0.610270385,-1
-0.745993299,0.652445398,-1
0.582303554,0.574705066,1
-0.594036328,0.317142254,-1
-0.661723996,-0.953728724,-1
0.655322408,-0.659164949,-1
-0.012181714,-0.449630272,-1
0.815841476,0.810282516,1
-0.300574421,-0.289391624,-1
0.177990529,0.345849612,-1
0.164390196,-0.159522624,-1
-0.082830399,0.769028173,-1
-0.679185029,0.901361422,-1
-0.207624209,-0.761267025,-1
-0.029622243,-0.094095234,-1
-0.653184939,0.38335908,-1
-0.72784393,-0.660654874,-1
0.224820658,0.831197638,1
0.369213326,0.672197213,1
-0.932441863,-0.234250428,-1
-0.70964826,-0.599675439,-1
-0.262066213,0.752041644,-1
-0.128924456,-0.927357809,-1
-0.652841405,-0.771892901,-1
0.133513165,-0.599314685,-1
0.309207475,-0.848098769,-1
0.471734496,-0.724804531,-1
0.168329255,-0.496791888,-1
0.476629192,0.961146163,1
-0.679675893,-0.405263997,-1
0.498291621,-0.59841267,-1
0.475745307,0.16525078,1
0.021842169,0.132584007,-1
-0.662531914,0.570253959,-1
0.216011198,0.703925693,1
-0.969802656,0.152975575,-1
0.172361911,-0.12610525,-1
0.520983047,-0.341313754,-1
0.009372056,0.111416987,-1
-0.028214697,0.15546995,-1
0.235774269,-0.924622848,-1
-0.13058133,0.217333102,-1
0.964336313,0.088971517,1
-0.955704043,0.038740327,-1
-0.491060224,-0.714546081,-1
-0.89101915,0.054238233,-1
0.17874536,-0.007466067,-1
-0.21220963,-0.978235774,-1
0.041795839,-0.980159899,-1
0.111030995,-0.671638325,-1
-0.124411177,-0.575068205,-1
0.283784857,-0.096313593,-1
-0.166099959,0.708060191,-1
-0.315088346,-0.750110808,-1
-0.830380953,-0.069231309,-1
0.25011726,0.470640312,1
0.129859228,-0.433443991,-1
0.052712458,0.287919428,-1
-0.031044246,0.593763679,-1
0.233915106,0.370796625,1
0.678698656,0.94952405,1
-0.599721087,-0.088547132,-1
0.464988472,-0.10542655,-1
0.568139121,-0.239302429,1
0.821559003,-0.423959335,1
0.919404368,0.904345962,1
-0.035812174,-0.831066536,-1
0.417619857,0.721651301,1
-0.73960868,0.42241377,-1
0.392067277,0.650060738,1
-0.209620364,-0.722316766,-1
0.524906655,0.490952435,1
0.311338193,-0.773726776,-1
-0.493997291,0.120430437,-1
0.252401895,0.262260016,-1
-0.671518746,0.709359418,-1
0.894747502,-0.078120872,1
0.428347597,0.570296464,1
-0.686676425,-0.018582785,-1
-0.936032108,-0.766173352,-1
0.810716338,0.379089095,1
-0.510550155,0.676493261,-1
0.367339595,-0.103150035,-1
-0.081888004,0.990677473,1
-0.82620877,0.365086977,-1
0.217190416,-0.173133398,-1
0.504245621,-0.20792517,-1
0.29614652,-0.355308134,-1
-0.79467,-0.812184219,-1
0.741823995,-0.855777129,-1
0.905405383,0.003475682,1
0.336200786,0.083173679,-1
-0.654568986,-0.740702314,-1
-0.246696351,-0.653083731,-1
-0.444534361,0.161457065,-1
0.739087285,-0.346851362,1
-0.863172337,0.989769892,-1
-0.526602338,-0.330085462,-1
0.97014208,-0.490274876,1
0.892603375,-0.536043346,1
-0.919577098,-0.965743032,-1
-0.774254259,-0.406270306,-1
0.919931365,0.601172948,1
-0.371410395,-0.382525466,-1
0.725802282,-0.381070763,1
0.259062315,-0.424145212,-1
-0.782329143,0.232438799,-1
-0.329103272,-0.812559372,-1
0.65846978,-0.180011577,1
0.037174952,-0.244977412,-1
0.821923941,0.023627734,1
-0.922831454,-0.612597878,-1
-0.499206846,-0.062963386,-1
0.466347251,-0.448496379,-1
0.81694096,-0.116696401,1
0.699940872,-0.702935595,-1
-0.046789649,0.63959423,-1
-0.974437356,0.710988346,-1
-0.169687034,0.562042688,-1
-0.204699697,0.678850454,-1
0.722909905,0.062092841,1
-0.223160031,0.61047032,-1
0.908834677,0.680339125,1
0.742041501,0.244969238,1
0.772651761,-0.059989562,1
-0.202537509,-0.29020439,-1
0.464171179,0.258330247,1
0.620094142,-0.952392993,-1
0.043000923,-0.801764287,-1
0.723530638,0.957842875,1
0.348489683,-0.181618974,-1
0.891825687,0.954186702,1
-0.379673912,-0.674107848,-1
0.864651679,-0.411840392,1
0.41964026,-0.913138151,-1
0.182189302,-0.194113619,-1
0.801288861,0.809423285,1
0.241317721,0.03977455,-1
-0.74244002,0.288016072,-1
0.987301196,-0.976969884,1
0.113006205,-0.279328193,-1
-0.467118425,0.237393077,1
-0.641043318,0.048247726,-1
-0.403210716,-0.727585291,-1
-0.994074475,0.268522313,-1
-0.063866402,0.129671035,-1
0.688494379,0.780501649,1
-0.019371397,-0.08258898,-1
0.364074961,0.056142189,-1
-0.027474417,0.342456805,-1
0.180817684,0.276211947,-1
0.6080868,0.136515779,1
0.39893874,0.089251147,1
-0.936607894,-0.465782659,-1
0.927521297,0.755107615,1
-0.328059698,-0.462001508,-1
-0.735465886,-0.750909356,-1
0.93918526,0.137896969,1
-0.514475176,0.196201435,-1
-0.686662948,0.06066518,-1
-0.816306446,-0.425003069,-1
0.642987972,-0.339167501,1
-0.211106422,-0.121179524,-1
